year,month,temp,pr
2010,1,21.2829,119.347
2010,2,23.0028,24.6918
2010,3,23.3828,17.6805
2010,4,25.9156,76.4054
2010,5,27.9955,129.848
2010,6,27.6409,170.972
2010,7,27.6693,231.421
2010,8,27.181,258.267
2010,9,26.975,208.884
2010,10,24.6371,210.198
2010,11,22.7269,105.954
2010,12,21.5358,70.3632
2011,1,18.0561,28.6263
2011,2,21.121,20.9222
2011,3,19.6389,59.1605
2011,4,24.5324,62.3041
2011,5,26.5126,155.895
2011,6,27.3648,276.433
2011,7,27.6562,253.884
2011,8,27.2079,258.946
2011,9,26.2988,338.789
2011,10,24.546,308.646
2011,11,23.7394,206.133
2011,12,19.9897,65.3421
2012,1,19.9376,63.5504
2012,2,21.2647,26.6722
2012,3,22.66,45.582
2012,4,26.1824,59.5025
2012,5,27.5174,232.993
2012,6,27.4194,234.206
2012,7,27.4906,277.347
2012,8,27.4666,298.421
2012,9,26.4697,212.025
2012,10,25.7243,269.287
2012,11,24.3128,397.858
2012,12,22.4016,54.3562
2013,1,20.2787,61.0331
2013,2,22.9052,45.2822
2013,3,23.9591,58.6912
2013,4,25.9443,72.3164
2013,5,27.2649,150.656
2013,6,27.3868,182.905
2013,7,27.2,259.541
2013,8,27.3971,274.068
2013,9,25.9728,283.283
2013,10,24.4809,240.616
2013,11,23.375,177.439
2013,12,18.6481,282.366
2014,1,18.8903,20.1041
2014,2,20.5782,14.8243
2014,3,22.9839,30.491
2014,4,26.1655,67.5097
2014,5,27.0155,100.506
2014,6,27.994,232.4
2014,7,27.3625,297.145
2014,8,27.2949,226.706
2014,9,26.9982,272.555
2014,10,25.6917,173.593
2014,11,24.0814,166.37
2014,12,20.3978,60.7189
2015,1,19.9524,39.6747
2015,2,21.5853,18.5884
2015,3,23.5692,32.7659
2015,4,25.8273,48.371
2015,5,28.4432,106.235
2015,6,28.5632,194.546
2015,7,27.455,265.695
2015,8,27.5118,279.796
2015,9,27.0807,270.979
2015,10,25.3536,210.218
2015,11,24.7644,177.599
2015,12,22.0768,93.3196
